Body,Class
hnbs managing director ceo jonathan alles capacity chairman prestigious asian banker association aba premier platform asian bank inaugurated aba th general meeting conference initially planned hosted sri lanka year event taking place virtually august theme asian bank achieving sustainable growth new normal attended important figure banking across asian region addressing virtual gathering alles highlighted critical role bank played supporting economic recovery postcovid today bank across globe working de facto delivery system delivering cash need however clear end sight virus still rampant bank acutely aware respond crisis determine rebuild future providing support government customer crucial crisis require bank deploy tool developed since global financial crisis lead coherent extensive response unchartered territory one thing certain strong banking sector fundamental strong recovery alles also emphasized importance innovation technological improvement sector addressing broader market need tapping opportunity new normal need jointly break new ground innovationdriven development year fairly fast growth asian country face challenge shifting old driver growth new one must rely innovation foster transition new round global technological revolution industrial transformation unfolds must seize opportunity tap advantage human capital market potential intensify cooperation innovation accelerate upgrading banking sector alles sri lankan banking sector professional sharing insight region banking sector leader th aba general meeting conference strong focus responding change induced pandemic technologyinnovation hnb executive director chief operation officer dilshan rodrigo also serving session chair regulator roundtable session current banking trend implication regulatory policy also feature dharmasri kumaratunge director payment settlement central bank sri lanka cbsl addition jonathan alles serve panellist ceo roundtable navigating new world order session responding challenge disruption changing global ecosystem role technology sustainable growth,business
emirate announced resumption colombo male service starting september daily service two city extension dubaimale flight ek colombo return flight ek operating colombo dubai via male emirate flight ek depart dubai hr daily arrive male hr depart maldivian capital hr colombo arriving sri lankas commercial capital hr return flight ek depart colombo hr arrive male hr depart dubai hr arrive emirate home base hr following day local time airline operate flight utilising widebody boeing aircraft threeclass configuration midoctober emirate also increase service male dubai four daily flight emirate flight booked emiratescom via travel agent emirate sale office emirate gradually rebuilding global network safe sustainable manner resumed passenger service passenger destination allowing traveller conveniently connect america europe africa middle east asia pacific via dubai,business
financial servicesheavy conglomerate lolc regained status valuable stock colombo stock exchange cse achieving price milestone expolanka closed lower following meteoric rise stock market analyst said yesterday lolc recaptured lost glory valuable shortlived share price gained r percent cross r mark close r saw lolc market capitalization move r billion around million lolc share changed hand via trade r million however monday valued expolanka survive frenzied trading second day price gain due profit taking expo saw million share change hand via trade r billion turnover stock closed r percent lower r market capitalisation r billion market analyst said amid development market bullished share price index touched point market later market witnessed month end profit taking could able maintain momentum settled point mark commercial leasing finance plc became highest contributor share price index point point came company expolaka contributed point share index index moved upwards share price indexc point p sl point turnover stood r billion three crossing crossing reported sanasa development bank crossed million share tune r million sahre price traded r lanka tile share crossed r million share price traded r commercial leasing finance share crossed r million share price traded r retail market top five company mainly contributed turnover expolanka r billion million share traded hayleys plc r million million share traded lolc finance r million million share traded commercial leasing finance r million million share traded million brown investment r million million share traded sanasa development bank started trading yesterday cse secondary public offer issued million share stock market laugfs gas announced resumed commercial operation following approval consumer affair authority price revision market analyst said day million share volume changed hand transaction,business
investor confidence colombo stock exchange recorded alltime high total market turnover touching r billion th august within first month year therefore investor sentiment shown significant improvement despite country economic woe covid pandemic condition csehead marketing niroshan wijesundera said last year cs total turnover reached r billion year surpassed last year total market turnover le eight month therefore market trading activity also increased approximately percent yeartodate growth seen aspi wijesundere told island financial review said daily turnover marked highest value quarter r billion recorded previous day yesterday market turnover stood r billion two day market turnover averaged r billion year date percent increase active account compared year cse implemented delivery versus payment dvp settlement mechanism august increased market participation growth indicates market participant embraced new trading system operating infrastructure wijesundera explained announcement new policy rate although public reaction exhibited soon positive trajectory market indicates amended policy rate posed negative effect market performance activity wijesundere said cse trading activates bullish yesterday major contributor share price index commercial leasing finance contributed point commercial leasing finance share price yesterday appreciated percent r share started trading r end day shot r expolanka holding performed well previous day noted profit taking share price depreciated two percent r share started trading r end day came r amid development index moved upwards share price index went point p sl rose point turnover stood r billion three crossing three crossing reported cargills plc share crossed tune r million share price traded r hnb non voting share crossed r million share traded r jkh share crossed r million share price r retail market top seven company mainly contributed turnover expolanka holding r billion million share tradedlolc finance r billion million share traded brown investment r billion million share traded lolc holding r million million share traded hayleys plc r million million share traded dipped product r million million share traded royal ceramic r million million share traded day million share volume changed hand transaction lolc group owns percent stake sanasa development bank sdb bank following conclusion bank secondary public offering sposdb bank said issue closed last week spo drawn application worth r billion short desired r billion aimed spo received application requesting million share said iconic property twenty three ltd fully owned subsidiary lolc investment allocated million share percent kotagala plantation plcs r million right issue seen demand worth r billion reflecting successful oversubscription issue involved ordinary share r per share basis seven new share two held aim raise r million kotagala said right issue oversubscribed total subscription received amounting r billion inclusive additional share applied said information subject realisation cheque bank confirmation elimination duplication verification consolidated tea plantation ltd owns percent kotagala related party lankem tea rubber plantation percent percentage share held public kotagala june percent public shareholder,business
sunshine holding diversified holding company interest healthcare agribusiness fastmoving consumer good renewable energy driving business value innovation new analytics platform based microsoft azure technology us consolidate data provide analytics across group company microsoft continues critical partner digital transformation journey said infiyaz ali group chief digital officer sunshine holding expand partnership demonstrating microsoft technology fundamental tool building transparent business helping employee various business unit access better information continue look new way boosting productivity efficiency employee employee making databased decision based subtle insight forecast data previously spread multiple siloed enterprise resource planning erp system sunshine holding utilizes microsoft azure platform data storage management power bi customizable dashboard ability analyze data multiple source functionality deployment new technology conducted inhouse explore work fully managed integrated data analytics service blend data warehousing data integration big data processing accelerated time insight said dhanushka abeyratne manager data science sunshine holding microsoft azure expect reap rich dividend becoming digitally enabled enterprise platform scalability compatibility integration erp system truly remarkable sunshine holding also adopted microsoft unified communication platform promote employee collaboration efficiency tool like microsoft team break silo allowing employee communicate across various business unit addition power apps help employee build intelligent application integrate business data sunshine holding transforming visualizing data modern scalable data solution eliminates data silo unifies business data said sook hoon cheah general manager southeast asia new market microsoft asia pacific microsoft azure provides unified workspace thing data support need modern workforce organization across southeast asia dramatically increase transparency build better monitoring system empower employee move quickly going forward eager expand collaboration sunshine holding give employee best productivity security experience microsoft microsoft cloud service sunshine holding actively expanding use data analytics transitioning new vertical including descriptive diagnostic predictive prescriptive analytics company see investment key big data analytics technology central success digital transformation goal,business
expolanka largest listed company cse recorded share price appreciation per cent last two week r r expolanka accounted almost per cent turnover yesterday contributing point share price index share price appreciated percent r share price rose r r amid development index moved upwards share price index went point p sl rose point turnover stood r billion two crossing crossing reported bppl holding crossed five million share tune r million share price r sanasa development bank two million share crossed r million share traded r retail market five company mainly contributed turnover expolanka r billion million share traded brown investment r billion million share traded lolc r million million share traded royal ceramic r million million share trade hayleys fabric r million million share traded day million share volume changed hand transaction top company witnessed significant appreciation share lolc brown investment lolc brown investment contributed point point respectively share price index listed company q earnings risen percent r billion primarily driven lower base effect corresponding quarter previous year impacted initial covid induced lockdown capital alliance said listed entity benefitted multiple factor enjoy high growth,business
ministry finance confirmed commercial bank ceylon biggest lender sri lankas sme sector among stateowned private specialised bank country accounting fifth loan term value number according ministry annual report commercial bank lent r billion r billion loan provided smes institution loan provided bank represented total loan granted pandemicimpacted year value commercial bank lending smes r billion next lender ministry published data reveals commercial bank also highest lender industry sector dispensing r billion total via loan total r billion granted sme sector commercial bank agriculture sector service sector industry sector sector better illustration commitment mission national economy commercial bank managing director renganathan observed data also reaffirms status systemically important bank sri lanka role supporting sme strengthened year ahead u million loan bank recently secured uk cdc group,business
sri lankas export surpassed billion mark july four month time period similar achievement recorded march year per figure released sri lanka custom sri lanka recorded export worth u million july highest ever monthly achievement showed increase u million july increase per cent u million july export development board edb chairman suresh de mel said sri lankas export show remarkable rise despite current pandemic situation across world thanks utmost courage determination continuous improvement shown exporter sustaining export business pandemic,business
need sound judgment try solve impact world lpg price local market critical time like country lasantha alagiyawanna state minister cooperative service marketing development consumer protection told island last week minister said asked laugfs gas plcs claim made letter addressed consumer affair authority caa recent price increase stipulated laugfs domestic lp gas cylinder reasonable laugfs sent letter caa already complying current price set authority accordingly letter sent laugfs gas plc group managing directorgceo p kudabalage caa state informed letter dated august consumer affair authority granted approval increasing maximum retail price domestic lpg cylinder r kg cylinder r kg cylinder accordingly informed new maximum retail price kg domestic lpg cylinder r kg domestic lpg cylinder r spoke wkh wegapitiya chairman laugfs holding said laugfs gas shipment way sri lanka arrangement could soon place distribute commodity asked operation company would sustainable medium term new price said really informed caa stance lpg pricing formula look future realistic expectation addition another r per cylinder operation viable laugfs chairman also raised concern usd lkr exchange rate market minister alagiyawanna told u time revisit issue settled great extent laugfs gas plc agreed bring metric ton start distributing facing multiple problem pandemic front economic front amid increasing world energy product price common mass burned enough cant burden said meanwhile laugfs gas distributor colombo district told reporter yesterday received meagre supply laugfs gas saturday grabbed consumer soon arrived leaving many others unfortunate,business
sampath bank plc last week announced introduction touchless cash withdrawal automated teller machine atm first time sri lanka possibly first time regionstate minister money capital market state enterprise reform ajith nivard cabraal mp chief guest commissioning bank head office premise performed first touchless withdrawal presence senior bank officialssampath said news release customer customer bank country able withdraw fund account card sampath bank atm around island simply scanning qr code displayed atm screen using sampath wepay appdoing away need physically touch surface atm set minimize risk enhance customer safety thereby serving ideal mean withdrawing cash atm current global covid pandemic release saidthis yet another trailblazing digital solution brought sri lankan market sampath bank right inception bank continued deliver several innovation market including introduction country first multipoint network atm back cabraal commended initiative saying timely innovation safe withdrawal cash customer bank context pandemic challengesto make touchless cash withdrawal sampath atm need done select qr option sampath wepay app scan unique qr code come atm screen enter amount select account card would like make withdrawal release explained system process request upon customer authorization debit relevant account card issue cash requested atm almost instantaneously need scan qr code unique transaction make necessary customer physically present atm thus offering added layer security said user learn going touchless calling sampath wepay app downloaded free apple app store google play store huawei appgallery user onboard entering national identity card nic detail begin transacting app updating sampath bank bank account credit card debit card detail release said customer bank need complete mandatory know customer kyc formality top sampath wepay wallet able use touch cash withdrawal facility sampath bank atm sampath bank charge annual fee commission transaction fee sampath wepaycaption state minister ajith nivard cabraal mp performing first touchless cash withdrawal transaction sampath bank head office premise,business
